,margin_balance,short_balance
2017-06-07,861715000000.0,4323790092.0
2017-06-08,862342000000.0,4491851769.0
2017-06-09,860609000000.0,4512788116.0
2017-06-12,862528000000.0,4621451186.0
2017-06-13,865273000000.0,4401645662.0
2017-06-14,865588000000.0,4342642465.0
2017-06-15,868902000000.0,4213306128.0
2017-06-16,865612000000.0,4219872593.0
2017-06-19,867472000000.0,4361355851.0
2017-06-20,867499000000.0,4355857336.0
2017-06-21,868810000000.0,4425042362.0
2017-06-22,869148000000.0,4704180342.0
2017-06-23,866795000000.0,4399315199.0
2017-06-26,871917000000.0,4650046748.0
2017-06-27,874112000000.0,4595984524.0
2017-06-28,877069000000.0,4735735680.0
2017-06-29,878150000000.0,4633045556.0
2017-06-30,875606000000.0,4255863526.0
2017-07-03,877508000000.0,4136935603.0
2017-07-04,878919000000.0,4442631641.0
2017-07-05,880901000000.0,4337308735.0
2017-07-06,881158000000.0,4735620023.0
2017-07-07,879977000000.0,4382253593.0
2017-07-10,882775000000.0,4556648894.0
2017-07-11,882831000000.0,4634852586.0
2017-07-12,884246000000.0,4659400571.0
2017-07-13,884625000000.0,4950209313.0
2017-07-14,880564000000.0,4704269550.0
2017-07-17,875571000000.0,4938384378.0
2017-07-18,875735000000.0,4652657797.0
2017-07-19,878104000000.0,4917180482.0
2017-07-20,879281000000.0,4926681944.0
2017-07-21,878290000000.0,4648276975.0
2017-07-24,884179000000.0,4837283044.0
2017-07-25,887762000000.0,4815763076.0
2017-07-26,890373000000.0,4691675549.0
2017-07-27,893760000000.0,4716452961.0
2017-07-28,890847000000.0,4631815893.0
2017-07-31,896223000000.0,4837225342.0
2017-08-01,897562000000.0,5054546186.0
2017-08-02,901273000000.0,4939269751.0
2017-08-03,905427000000.0,4584912332.0
2017-08-04,902106000000.0,4655635937.0
2017-08-07,905358000000.0,4567341473.0
2017-08-08,904461000000.0,4846442688.0
2017-08-09,908294000000.0,4896687665.0
2017-08-10,908654000000.0,4797977569.0
2017-08-11,904869000000.0,4529220239.0
2017-08-14,909879000000.0,4619137915.0
2017-08-15,912395000000.0,4880164666.0
2017-08-16,914913000000.0,4791307964.0
2017-08-17,917861000000.0,4947001831.0
2017-08-18,916067000000.0,4684471592.0
2017-08-21,919628000000.0,4575304642.0
